Doctor's Actions; pt_Trust; pt_Dist; pt_Aggr; pt_Talk; dialStatus;;Doctor's Actions; pt_Trust; pt_Dist; pt_Aggr; pt_Talk; dialStatus;;;Doctor's Actions; pt_Trust; pt_Dist; pt_Aggr; pt_Talk; dialStatus
2; 10.0; 100.0; 100.0; 80.0; N;;2; 90.0; 0.0; 0.0; 80.0; N;;;8; 40.0; 87.5; 95.0; 50.0; N
3; 20.0; 91.0; 91.0; 80.0; R;;3; 85.0; 11.0; 5.5; 80.0; DU;;;9; 50.0; 80.0; 87.5; 50.0; N
4; 20.0; 82.0; 91.0; 80.0; N;;4; 80.0; 16.5; 16.5; 80.0; N;;;10; 50.0; 72.5; 87.5; 50.0; DU
1; 30.0; 71.0; 71.0; 80.0; N;;1; 75.0; 11.0; 5.5; 80.0; N;;;1; 45.0; 65.0; 57.5; 50.0; DU
2; 30.0; 62.0; 71.0; 80.0; N;;2; 70.0; 16.5; 16.5; 80.0; DU;;;2; 40.0; 72.5; 72.5; 50.0; N
3; 25.0; 80.0; 80.0; 80.0; Q;;3; 70.0; 22.0; 16.5; 80.0; N;;;3; 50.0; 65.0; 65.0; 50.0; N
4; 20.0; 89.0; 98.0; 80.0; DU;;4; 65.0; 27.5; 27.5; 80.0; N;;;4; 50.0; 57.5; 65.0; 50.0; N
5; 15.0; 100.0; 100.0; 80.0; END;;1; 90.0; 0.0; 0.0; 80.0; N;;;1; 45.0; 65.0; 57.5; 50.0; DU
6; 10.0; 100.0; 100.0; 80.0; N;;2; 90.0; 0.0; 0.0; 80.0; DU;;;2; 40.0; 72.5; 72.5; 50.0; END
1; 30.0; 71.0; 71.0; 80.0; R;;3; 85.0; 11.0; 5.5; 80.0; END;;;1; 60.0; 42.5; 42.5; 50.0; DU
2; 30.0; 62.0; 71.0; 80.0; N;;4; 80.0; 16.5; 16.5; 80.0; N;;;2; 60.0; 35.0; 42.5; 50.0; N
3; 25.0; 80.0; 80.0; 80.0; N;;5; 80.0; 22.0; 16.5; 80.0; DU;;;3; 55.0; 50.0; 50.0; 50.0; N
4; 20.0; 89.0; 98.0; 80.0; N;;6; 75.0; 27.5; 27.5; 80.0; R;;;4; 50.0; 57.5; 65.0; 50.0; N
1; 30.0; 71.0; 71.0; 80.0; N;;7; 75.0; 33.0; 27.5; 80.0; N;;;1; 45.0; 65.0; 57.5; 50.0; N
2; 30.0; 62.0; 71.0; 80.0; N;;8; 70.0; 38.5; 38.5; 80.0; N;;;2; 40.0; 72.5; 72.5; 50.0; DU
3; 25.0; 80.0; 80.0; 80.0; DU;;1; 90.0; 0.0; 0.0; 80.0; N;;;3; 50.0; 65.0; 65.0; 50.0; END
4; 20.0; 89.0; 98.0; 80.0; END;;2; 90.0; 0.0; 0.0; 80.0; N;;;4; 50.0; 57.5; 65.0; 50.0; DU
1; 30.0; 71.0; 71.0; 80.0; N;;3; 85.0; 11.0; 5.5; 80.0; N;;;5; 60.0; 50.0; 57.5; 50.0; N
2; 30.0; 62.0; 71.0; 80.0; N;;4; 80.0; 16.5; 16.5; 80.0; N;;;6; 60.0; 42.5; 57.5; 50.0; N
