Doctor's Actions, pt_Trust, pt_Dist, pt_Aggr, pt_Talk, dialStatus
1, 30.0, 62.0, 71.0, 80.0, N
2, 35.0, 53.0, 65.6, 80.0, N
3, 40.0, 44.0, 60.199999999999996, 80.0, N
4, 45.0, 35.0, 54.8, 80.0, DU
5, 50.0, 26.0, 49.4, 80.0, R
6, 55.0, 17.0, 44.0, 80.0, N
1, 30.0, 62.0, 71.0, 80.0, N
2, 35.0, 53.0, 65.6, 80.0, N
3, 40.0, 44.0, 60.199999999999996, 80.0, R
4, 45.0, 35.0, 54.8, 80.0, N
5, 50.0, 26.0, 49.4, 80.0, R
6, 55.0, 17.0, 44.0, 80.0, N
1, 30.0, 62.0, 71.0, 80.0, DU
2, 40.0, 44.0, 62.0, 80.0, N
3, 45.0, 35.0, 56.6, 80.0, N
4, 50.0, 26.0, 51.2, 80.0, N
5, 55.0, 17.0, 45.800000000000004, 80.0, N
1, 30.0, 62.0, 71.0, 80.0, N
2, 35.0, 53.0, 65.6, 80.0, N
3, 40.0, 44.0, 60.199999999999996, 80.0, N
4, 45.0, 35.0, 54.8, 80.0, N
1, 30.0, 62.0, 71.0, 80.0, N
2, 35.0, 53.0, 65.6, 80.0, N
3, 40.0, 44.0, 60.199999999999996, 80.0, R
4, 45.0, 35.0, 54.8, 80.0, N
5, 50.0, 26.0, 49.4, 80.0, N
1, 30.0, 62.0, 71.0, 80.0, N
2, 35.0, 53.0, 65.6, 80.0, N
3, 40.0, 44.0, 60.199999999999996, 80.0, N
4, 45.0, 35.0, 54.8, 80.0, N
1, 30.0, 62.0, 71.0, 80.0, DU
2, 40.0, 44.0, 62.0, 80.0, N
3, 45.0, 35.0, 56.6, 80.0, Q
4, 50.0, 26.0, 51.2, 80.0, N
5, 55.0, 17.0, 45.800000000000004, 80.0, Q
6, 60.0, 8.0, 40.400000000000006, 80.0, N
7, 65.0, 0.0, 35.00000000000001, 80.0, DU
8, 70.0, 0.0, 29.60000000000001, 80.0, N
1, 30.0, 62.0, 71.0, 80.0, N
2, 35.0, 53.0, 65.6, 80.0, N
3, 40.0, 44.0, 60.199999999999996, 80.0, N
4, 45.0, 35.0, 54.8, 80.0, N
1, 30.0, 62.0, 71.0, 80.0, N
2, 35.0, 53.0, 65.6, 80.0, N
3, 40.0, 44.0, 60.199999999999996, 80.0, N
4, 45.0, 35.0, 54.8, 80.0, N
1, 30.0, 62.0, 71.0, 80.0, Q
2, 40.0, 44.0, 62.0, 80.0, DU
3, 50.0, 26.0, 53.0, 80.0, R
4, 60.0, 8.0, 44.0, 80.0, N
5, 65.0, 0.0, 38.6, 80.0, N
6, 70.0, 0.0, 33.2, 80.0, N
7, 75.0, 0.0, 27.800000000000004, 80.0, N
1, 30.0, 62.0, 71.0, 80.0, N
2, 35.0, 53.0, 65.6, 80.0, DU
3, 40.0, 44.0, 60.199999999999996, 80.0, N
4, 45.0, 35.0, 54.8, 80.0, N
5, 50.0, 26.0, 49.4, 80.0, N
1, 30.0, 62.0, 71.0, 80.0, N
2, 35.0, 53.0, 65.6, 80.0, Q
3, 40.0, 44.0, 60.199999999999996, 80.0, R
4, 45.0, 35.0, 54.8, 80.0, END
5, 50.0, 26.0, 49.4, 80.0, R
6, 55.0, 17.0, 44.0, 80.0, N
7, 60.0, 8.0, 38.6, 80.0, N
1, 30.0, 62.0, 71.0, 80.0, DU
2, 40.0, 44.0, 62.0, 80.0, N
3, 45.0, 35.0, 56.6, 80.0, N
4, 50.0, 26.0, 51.2, 80.0, N
5, 55.0, 17.0, 45.800000000000004, 80.0, N
1, 30.0, 62.0, 71.0, 80.0, Q
2, 40.0, 44.0, 62.0, 80.0, R
3, 50.0, 26.0, 53.0, 80.0, N
4, 55.0, 17.0, 47.6, 80.0, N
5, 60.0, 8.0, 42.2, 80.0, N
6, 65.0, 0.0, 36.800000000000004, 80.0, N
1, 30.0, 62.0, 71.0, 80.0, N
2, 35.0, 53.0, 65.6, 80.0, N
3, 40.0, 44.0, 60.199999999999996, 80.0, Q
4, 45.0, 35.0, 54.8, 80.0, END
5, 50.0, 26.0, 49.4, 80.0, N
1, 30.0, 62.0, 71.0, 80.0, Q
2, 40.0, 44.0, 62.0, 80.0, N
3, 45.0, 35.0, 56.6, 80.0, N
4, 50.0, 26.0, 51.2, 80.0, R
5, 55.0, 17.0, 45.800000000000004, 80.0, N
6, 60.0, 8.0, 40.400000000000006, 80.0, DU
7, 65.0, 0.0, 35.00000000000001, 80.0, N
1, 30.0, 62.0, 71.0, 80.0, Q
2, 40.0, 44.0, 62.0, 80.0, N
3, 45.0, 35.0, 56.6, 80.0, R
4, 50.0, 26.0, 51.2, 80.0, N
5, 55.0, 17.0, 45.800000000000004, 80.0, N
6, 60.0, 8.0, 40.400000000000006, 80.0, N
1, 30.0, 62.0, 71.0, 80.0, R
2, 40.0, 44.0, 62.0, 80.0, N
3, 45.0, 35.0, 56.6, 80.0, N
4, 50.0, 26.0, 51.2, 80.0, N
5, 55.0, 17.0, 45.800000000000004, 80.0, N
1, 30.0, 62.0, 71.0, 80.0, N
2, 35.0, 53.0, 65.6, 80.0, R
3, 40.0, 44.0, 60.199999999999996, 80.0, N
4, 45.0, 35.0, 54.8, 80.0, N
5, 50.0, 26.0, 49.4, 80.0, N
1, 30.0, 62.0, 71.0, 80.0, N
2, 35.0, 53.0, 65.6, 80.0, DU
3, 40.0, 44.0, 60.199999999999996, 80.0, N
4, 45.0, 35.0, 54.8, 80.0, N
5, 50.0, 26.0, 49.4, 80.0, R
6, 55.0, 17.0, 44.0, 80.0, Q
7, 60.0, 8.0, 38.6, 80.0, END
1, 30.0, 62.0, 71.0, 80.0, N
2, 35.0, 53.0, 65.6, 80.0, N
3, 40.0, 44.0, 60.199999999999996, 80.0, R
4, 45.0, 35.0, 54.8, 80.0, Q
5, 50.0, 26.0, 49.4, 80.0, N
6, 55.0, 17.0, 44.0, 80.0, N
1, 30.0, 62.0, 71.0, 80.0, N
2, 35.0, 53.0, 65.6, 80.0, N
3, 40.0, 44.0, 60.199999999999996, 80.0, N
4, 45.0, 35.0, 54.8, 80.0, R
5, 50.0, 26.0, 49.4, 80.0, DU
6, 55.0, 17.0, 44.0, 80.0, N
1, 30.0, 62.0, 71.0, 80.0, N
2, 35.0, 53.0, 65.6, 80.0, N
3, 40.0, 44.0, 60.199999999999996, 80.0, R
4, 45.0, 35.0, 54.8, 80.0, N
5, 50.0, 26.0, 49.4, 80.0, N
1, 30.0, 62.0, 71.0, 80.0, N
2, 35.0, 53.0, 65.6, 80.0, N
3, 40.0, 44.0, 60.199999999999996, 80.0, N
4, 45.0, 35.0, 54.8, 80.0, DU
5, 50.0, 26.0, 49.4, 80.0, N
1, 30.0, 62.0, 71.0, 80.0, R
2, 40.0, 44.0, 62.0, 80.0, N
3, 45.0, 35.0, 56.6, 80.0, DU
4, 50.0, 26.0, 51.2, 80.0, END
5, 55.0, 17.0, 45.800000000000004, 80.0, N
6, 60.0, 8.0, 40.400000000000006, 80.0, N
1, 30.0, 62.0, 71.0, 80.0, R
2, 40.0, 44.0, 62.0, 80.0, N
3, 45.0, 35.0, 56.6, 80.0, N
4, 50.0, 26.0, 51.2, 80.0, N
5, 55.0, 17.0, 45.800000000000004, 80.0, DU
6, 60.0, 8.0, 40.400000000000006, 80.0, N
1, 30.0, 62.0, 71.0, 80.0, N
2, 35.0, 53.0, 65.6, 80.0, DU
3, 40.0, 44.0, 60.199999999999996, 80.0, R
4, 45.0, 35.0, 54.8, 80.0, N
5, 50.0, 26.0, 49.4, 80.0, N
6, 55.0, 17.0, 44.0, 80.0, N
1, 30.0, 62.0, 71.0, 80.0, Q
2, 40.0, 44.0, 62.0, 80.0, DU
3, 50.0, 26.0, 53.0, 80.0, N
4, 55.0, 17.0, 47.6, 80.0, DU
5, 60.0, 8.0, 42.2, 80.0, END
6, 65.0, 0.0, 36.800000000000004, 80.0, N
7, 70.0, 0.0, 31.400000000000006, 80.0, N
1, 30.0, 62.0, 71.0, 80.0, N
2, 35.0, 53.0, 65.6, 80.0, R
3, 40.0, 44.0, 60.199999999999996, 80.0, N
4, 45.0, 35.0, 54.8, 80.0, DU
5, 50.0, 26.0, 49.4, 80.0, N
6, 55.0, 17.0, 44.0, 80.0, N
1, 30.0, 62.0, 71.0, 80.0, DU
2, 40.0, 44.0, 62.0, 80.0, N
3, 45.0, 35.0, 56.6, 80.0, N
4, 50.0, 26.0, 51.2, 80.0, R
5, 55.0, 17.0, 45.800000000000004, 80.0, N
6, 60.0, 8.0, 40.400000000000006, 80.0, N
1, 30.0, 62.0, 71.0, 80.0, N
2, 35.0, 53.0, 65.6, 80.0, N
3, 40.0, 44.0, 60.199999999999996, 80.0, N
4, 45.0, 35.0, 54.8, 80.0, N
1, 30.0, 62.0, 71.0, 80.0, N
2, 35.0, 53.0, 65.6, 80.0, N
3, 40.0, 44.0, 60.199999999999996, 80.0, N
4, 45.0, 35.0, 54.8, 80.0, N
1, 30.0, 62.0, 71.0, 80.0, N
2, 35.0, 53.0, 65.6, 80.0, N
3, 40.0, 44.0, 60.199999999999996, 80.0, N
4, 45.0, 35.0, 54.8, 80.0, N
1, 30.0, 62.0, 71.0, 80.0, R
2, 40.0, 44.0, 62.0, 80.0, END
3, 45.0, 35.0, 56.6, 80.0, R
4, 50.0, 26.0, 51.2, 80.0, N
5, 55.0, 17.0, 45.800000000000004, 80.0, N
6, 60.0, 8.0, 40.400000000000006, 80.0, N
1, 30.0, 62.0, 71.0, 80.0, N
2, 35.0, 53.0, 65.6, 80.0, N
3, 40.0, 44.0, 60.199999999999996, 80.0, Q
4, 45.0, 35.0, 54.8, 80.0, N
5, 50.0, 26.0, 49.4, 80.0, N
1, 30.0, 62.0, 71.0, 80.0, N
2, 35.0, 53.0, 65.6, 80.0, N
3, 40.0, 44.0, 60.199999999999996, 80.0, N
4, 45.0, 35.0, 54.8, 80.0, N
1, 30.0, 62.0, 71.0, 80.0, N
2, 35.0, 53.0, 65.6, 80.0, N
3, 40.0, 44.0, 60.199999999999996, 80.0, N
4, 45.0, 35.0, 54.8, 80.0, N
1, 30.0, 62.0, 71.0, 80.0, N
2, 35.0, 53.0, 65.6, 80.0, N
3, 40.0, 44.0, 60.199999999999996, 80.0, N
4, 45.0, 35.0, 54.8, 80.0, Q
5, 50.0, 26.0, 49.4, 80.0, N
1, 30.0, 62.0, 71.0, 80.0, N
2, 35.0, 53.0, 65.6, 80.0, N
3, 40.0, 44.0, 60.199999999999996, 80.0, N
4, 45.0, 35.0, 54.8, 80.0, Q
5, 50.0, 26.0, 49.4, 80.0, R
6, 55.0, 17.0, 44.0, 80.0, N
1, 30.0, 62.0, 71.0, 80.0, N
2, 35.0, 53.0, 65.6, 80.0, Q
3, 40.0, 44.0, 60.199999999999996, 80.0, N
4, 45.0, 35.0, 54.8, 80.0, N
5, 50.0, 26.0, 49.4, 80.0, N
1, 30.0, 62.0, 71.0, 80.0, N
2, 35.0, 53.0, 65.6, 80.0, N
3, 40.0, 44.0, 60.199999999999996, 80.0, N
4, 45.0, 35.0, 54.8, 80.0, N
1, 30.0, 62.0, 71.0, 80.0, N
2, 35.0, 53.0, 65.6, 80.0, N
3, 40.0, 44.0, 60.199999999999996, 80.0, N
4, 45.0, 35.0, 54.8, 80.0, R
5, 50.0, 26.0, 49.4, 80.0, N
1, 30.0, 62.0, 71.0, 80.0, N
2, 35.0, 53.0, 65.6, 80.0, R
3, 40.0, 44.0, 60.199999999999996, 80.0, DU
4, 45.0, 35.0, 54.8, 80.0, R
5, 50.0, 26.0, 49.4, 80.0, N
6, 55.0, 17.0, 44.0, 80.0, N
7, 60.0, 8.0, 38.6, 80.0, N
1, 30.0, 62.0, 71.0, 80.0, N
