Doctor's Actions; pt_Trust; pt_Dist; pt_Aggr; pt_Talk; dialStatus
5; 45.0; 72.5; 72.5; 50.0; END
6; 40.0; 80.0; 87.5; 50.0; DU
7; 35.0; 95.0; 95.0; 50.0; END
8; 30.0; 100.0; 100.0; 50.0; DU
9; 25.0; 100.0; 100.0; 50.0; N
10; 20.0; 100.0; 100.0; 50.0; DU
11; 20.0; 100.0; 100.0; 50.0; END
12; 15.0; 100.0; 100.0; 50.0; DU
13; 15.0; 100.0; 100.0; 50.0; END
14; 10.0; 100.0; 100.0; 50.0; DU
15; 10.0; 100.0; 100.0; 50.0; R
16; 5.0; 100.0; 100.0; 50.0; DU
17; 5.0; 100.0; 100.0; 50.0; END
18; 0.0; 100.0; 100.0; 50.0; DU
19; 0.0; 100.0; 100.0; 50.0; END
20; 0.0; 100.0; 100.0; 50.0; DU
21; 0.0; 100.0; 100.0; 50.0; END
22; 0.0; 100.0; 100.0; 50.0; N
1; 45.0; 65.0; 57.5; 50.0; DU
2; 40.0; 72.5; 72.5; 50.0; END
1; 60.0; 42.5; 42.5; 50.0; N
2; 60.0; 35.0; 42.5; 50.0; N
3; 55.0; 50.0; 50.0; 50.0; N
4; 50.0; 57.5; 65.0; 50.0; DU
1; 45.0; 65.0; 57.5; 50.0; DU
2; 40.0; 72.5; 72.5; 50.0; END
1; 60.0; 42.5; 42.5; 50.0; N
2; 60.0; 35.0; 42.5; 50.0; N
3; 55.0; 50.0; 50.0; 50.0; DU
4; 50.0; 57.5; 65.0; 50.0; R
5; 45.0; 72.5; 72.5; 50.0; DU
6; 40.0; 80.0; 87.5; 50.0; R
7; 35.0; 95.0; 95.0; 50.0; DU
8; 30.0; 100.0; 100.0; 50.0; END
1; 45.0; 65.0; 57.5; 50.0; N
2; 40.0; 72.5; 72.5; 50.0; Q
3; 50.0; 65.0; 65.0; 50.0; N
4; 50.0; 57.5; 65.0; 50.0; N
1; 45.0; 65.0; 57.5; 50.0; DU
2; 40.0; 72.5; 72.5; 50.0; END
1; 45.0; 65.0; 57.5; 50.0; N
2; 40.0; 72.5; 72.5; 50.0; N
3; 50.0; 65.0; 65.0; 50.0; Q
4; 50.0; 57.5; 65.0; 50.0; N
1; 45.0; 65.0; 57.5; 50.0; N
2; 40.0; 72.5; 72.5; 50.0; DU
3; 40.0; 80.0; 72.5; 50.0; END
4; 35.0; 87.5; 87.5; 50.0; DU
5; 35.0; 95.0; 87.5; 50.0; END
6; 30.0; 100.0; 100.0; 50.0; DU
7; 30.0; 100.0; 100.0; 50.0; N
8; 25.0; 100.0; 100.0; 50.0; DU
9; 35.0; 92.5; 92.5; 50.0; Q
10; 35.0; 85.0; 92.5; 50.0; DU
