DActions Nb; pt_Trust; pt_Dist; pt_Aggr; pt_Talk;;DActions Nb; pt_Trust; pt_Dist; pt_Aggr; pt_Talk;;DActions Nb; pt_Trust; pt_Dist; pt_Aggr; pt_Talk
4;35;80;71;80;;4;75;22;16,5;80;;8;75;57,5;57,5;50
6;40;80;71;80;;4;80;16,5;16,5;80;;8;70;42,5;57,5;50
4;20;89;98;80;;4;80;16,5;16,5;80;;6;55;65;65;50
6;25;100;98;80;;4;90;11;5,5;80;;4;50;57,5;65;50
4;30;80;80;80;;6;100;11;5,5;80;;6;55;57,5;65;50
4;20;89;98;80;;4;90;11;5,5;80;;8;55;57,5;72,5;50
4;20;89;98;80;;4;65;27,5;27,5;80;;4;65;50;42,5;50
6;20;100;100;80;;4;90;0;0;80;;4;35;87,5;87,5;50
6;30;98;98;80;;4;80;16,5;16,5;80;;6;65;42,5;50;50
4;35;80;71;80;;4;80;16,5;16,5;80;;4;65;50;42,5;50
4;35;80;71;80;;4;95;11;5,5;80;;4;65;50;42,5;50
8;30;91;100;80;;4;90;11;5,5;80;;4;60;65;57,5;50
4;25;82;82;80;;6;90;11;5,5;80;;4;50;80;72,5;50
8;30;91;100;80;;4;80;22;16,5;80;;2;60;35;42,5;50
4;30;91;89;80;;6;80;27,5;27,5;80;;4;50;57,5;65;50
8;45;55;64;80;;4;90;0;0;80;;4;50;57,5;65;50
6;35;82;82;80;;4;80;16,5;16,5;80;;2;50;65;57,5;50
;;;;;;;;;;;;;;;;
5,06;26,85;88,11;87,65;80;;4,48;85,1;14,355;12,595;80;;4,74;55,05;61,8;61,05;50
