DActions Nb; pt_Trust; pt_Dist; pt_Aggr; pt_Talk;;DActions Nb; pt_Trust; pt_Dist; pt_Aggr; pt_Talk;;DActions Nb; pt_Trust; pt_Dist; pt_Aggr; pt_Talk
6;15;100;100;80;;4;80;16,5;16,5;80;;4;50;57,5;65;50
8;25;89;100;80;;4;65;27,5;27,5;80;;2;40;72,5;72,5;50
12;15;82;100;80;;4;80;16,5;16,5;80;;8;50;65;80;50
4;20;89;98;80;;6;75;16,5;22;80;;2;60;35;42,5;50
12;0;100;100;80;;4;80;16,5;16,5;80;;2;40;72,5;72,5;50
4;20;89;98;80;;2;70;16,5;16,5;80;;4;50;57,5;65;50
4;20;82;91;80;;4;65;27,5;27,5;80;;4;50;57,5;65;50
4;20;89;98;80;;4;80;5,5;11;80;;6;45;72,5;80;50
4;20;82;91;80;;4;80;16,5;16,5;80;;10;30;100;100;50
6;30;71;89;80;;4;65;27,5;27,5;80;;6;45;72,5;80;50
12;0;100;100;80;;4;80;5,5;11;80;;4;50;57,5;65;50
6;15;100;100;80;;6;75;16,5;22;80;;2;40;72,5;72,5;50
4;20;89;98;80;;4;80;16,5;16,5;80;;6;45;72,5;80;50
4;20;89;98;80;;4;80;16,5;16,5;80;;2;40;72,5;72,5;50
4;5;100;100;80;;4;65;27,5;27,5;80;;12;10;100;100;50
6;15;82;91;80;;4;65;27,5;27,5;80;;4;50;57,5;65;50
8;0;100;100;80;;4;80;16,5;16,5;80;;6;60;42,5;57,5;50
4;20;82;91;80;;4;80;5,5;11;80;;4;50;57,5;65;50
6;15;82;91;80;;4;80;16,5;16,5;80;;8;35;95;100;50
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
5,6;14,45;91,33;96,93;80;;4,18;76,25;17,435;18,7;80;;5,12;44,05;69,05;74,85;50
