DActions Nb, pt_Trust, pt_Dist, pt_Aggr, pt_Talk

3, 20.0, 80.0, 80.0, 80.0
4, 25.0, 71.0, 89.0, 80.0
3, 20.0, 80.0, 80.0, 80.0
3, 20.0, 71.0, 80.0, 80.0
3, 20.0, 80.0, 80.0, 80.0
3, 20.0, 71.0, 80.0, 80.0
4, 20.0, 62.0, 80.0, 80.0
4, 25.0, 89.0, 89.0, 80.0
3, 20.0, 80.0, 80.0, 80.0
4, 25.0, 89.0, 89.0, 80.0
5, 25.0, 71.0, 89.0, 80.0
4, 25.0, 80.0, 89.0, 80.0
4, 20.0, 71.0, 80.0, 80.0
3, 20.0, 80.0, 80.0, 80.0
3, 20.0, 80.0, 80.0, 80.0
3, 20.0, 80.0, 80.0, 80.0
4, 20.0, 71.0, 80.0, 80.0
4, 20.0, 71.0, 80.0, 80.0
3, 20.0, 80.0, 80.0, 80.0
5, 25.0, 62.0, 80.0, 80.0
3, 20.0, 71.0, 80.0, 80.0
3, 20.0, 80.0, 80.0, 80.0
4, 25.0, 80.0, 89.0, 80.0
4, 20.0, 71.0, 80.0, 80.0
4, 25.0, 89.0, 89.0, 80.0
3, 20.0, 80.0, 80.0, 80.0
3, 20.0, 80.0, 80.0, 80.0
3, 20.0, 80.0, 80.0, 80.0
3, 25.0, 71.0, 80.0, 80.0
3, 25.0, 89.0, 89.0, 80.0
3, 20.0, 71.0, 80.0, 80.0
3, 20.0, 80.0, 80.0, 80.0
4, 20.0, 71.0, 80.0, 80.0
3, 20.0, 71.0, 80.0, 80.0
3, 25.0, 62.0, 80.0, 80.0
3, 25.0, 89.0, 89.0, 80.0
2, 20.0, 80.0, 80.0, 80.0
4, 30.0, 98.0, 98.0, 80.0
4, 20.0, 71.0, 80.0, 80.0
3, 20.0, 80.0, 80.0, 80.0
3, 25.0, 62.0, 80.0, 80.0
3, 20.0, 80.0, 80.0, 80.0
3, 25.0, 80.0, 89.0, 80.0
3, 20.0, 80.0, 80.0, 80.0
3, 25.0, 71.0, 80.0, 80.0
3, 25.0, 80.0, 89.0, 80.0
3, 25.0, 71.0, 80.0, 80.0
3, 25.0, 62.0, 80.0, 80.0
3, 20.0, 80.0, 80.0, 80.0
3, 20.0, 80.0, 80.0, 80.0
3, 20.0, 71.0, 80.0, 80.0
3, 20.0, 80.0, 80.0, 80.0
4, 20.0, 71.0, 80.0, 80.0
5, 25.0, 80.0, 89.0, 80.0
3, 20.0, 80.0, 80.0, 80.0
3, 20.0, 71.0, 80.0, 80.0
3, 20.0, 80.0, 80.0, 80.0
3, 20.0, 80.0, 80.0, 80.0
2, 20.0, 71.0, 80.0, 80.0
3, 25.0, 80.0, 89.0, 80.0
3, 20.0, 80.0, 80.0, 80.0
3, 20.0, 80.0, 80.0, 80.0
3, 20.0, 80.0, 80.0, 80.0
3, 20.0, 80.0, 80.0, 80.0
3, 20.0, 80.0, 80.0, 80.0
3, 25.0, 71.0, 80.0, 80.0
3, 20.0, 80.0, 80.0, 80.0
4, 20.0, 71.0, 80.0, 80.0
2, 20.0, 80.0, 80.0, 80.0
3, 25.0, 80.0, 89.0, 80.0
4, 20.0, 71.0, 80.0, 80.0
3, 25.0, 71.0, 80.0, 80.0
4, 20.0, 71.0, 80.0, 80.0
3, 25.0, 80.0, 89.0, 80.0
2, 20.0, 80.0, 80.0, 80.0
4, 25.0, 89.0, 89.0, 80.0
3, 20.0, 80.0, 80.0, 80.0
3, 20.0, 80.0, 80.0, 80.0
4, 20.0, 71.0, 80.0, 80.0
3, 20.0, 80.0, 80.0, 80.0
5, 25.0, 62.0, 80.0, 80.0
4, 20.0, 71.0, 80.0, 80.0
3, 20.0, 80.0, 80.0, 80.0
5, 30.0, 71.0, 89.0, 80.0
3, 20.0, 80.0, 80.0, 80.0
3, 20.0, 80.0, 80.0, 80.0
3, 20.0, 71.0, 80.0, 80.0
3, 20.0, 80.0, 80.0, 80.0
3, 20.0, 80.0, 80.0, 80.0
3, 20.0, 71.0, 80.0, 80.0
3, 20.0, 80.0, 80.0, 80.0
3, 25.0, 71.0, 80.0, 80.0
3, 20.0, 71.0, 80.0, 80.0
3, 20.0, 80.0, 80.0, 80.0
3, 20.0, 80.0, 80.0, 80.0
4, 25.0, 89.0, 89.0, 80.0
3, 20.0, 80.0, 80.0, 80.0
4, 20.0, 71.0, 80.0, 80.0
3, 25.0, 89.0, 89.0, 80.0
3, 20.0, 80.0, 80.0, 80.0
