DActions Nb, pt_Trust, pt_Dist, pt_Aggr, pt_Talk

7, 35.0, 100.0, 75.5, 50.0
7, 30.0, 100.0, 75.5, 50.0
7, 30.0, 100.0, 78.5, 50.0
7, 30.0, 100.0, 78.5, 50.0
7, 35.0, 100.0, 75.5, 50.0
6, 35.0, 95.0, 75.5, 50.0
5, 35.0, 87.5, 71.0, 50.0
9, 30.0, 100.0, 87.5, 50.0
9, 30.0, 100.0, 89.0, 50.0
7, 35.0, 100.0, 78.5, 50.0
6, 35.0, 95.0, 71.0, 50.0
14, 10.0, 100.0, 100.0, 50.0
9, 30.0, 100.0, 92.0, 50.0
10, 30.0, 100.0, 83.0, 50.0
8, 30.0, 100.0, 83.0, 50.0
7, 30.0, 100.0, 78.5, 50.0
7, 35.0, 100.0, 78.5, 50.0
6, 35.0, 95.0, 75.5, 50.0
8, 35.0, 100.0, 78.5, 50.0
6, 30.0, 95.0, 78.5, 50.0
8, 30.0, 100.0, 83.0, 50.0
9, 25.0, 100.0, 90.5, 50.0
6, 30.0, 95.0, 78.5, 50.0
7, 35.0, 100.0, 80.0, 50.0
5, 40.0, 87.5, 66.5, 50.0
7, 35.0, 100.0, 78.5, 50.0
8, 30.0, 100.0, 87.5, 50.0
8, 35.0, 100.0, 83.0, 50.0
8, 25.0, 100.0, 80.0, 50.0
8, 30.0, 100.0, 78.5, 50.0
8, 30.0, 100.0, 83.0, 50.0
9, 35.0, 100.0, 84.5, 50.0
8, 30.0, 100.0, 83.0, 50.0
6, 30.0, 95.0, 75.5, 50.0
8, 30.0, 100.0, 83.0, 50.0
6, 35.0, 95.0, 71.0, 50.0
16, 0.0, 100.0, 100.0, 50.0
7, 30.0, 100.0, 83.0, 50.0
7, 30.0, 100.0, 83.0, 50.0
9, 30.0, 100.0, 83.0, 50.0
9, 20.0, 100.0, 93.5, 50.0
8, 40.0, 100.0, 80.0, 50.0
6, 35.0, 95.0, 75.5, 50.0
9, 20.0, 100.0, 93.5, 50.0
7, 35.0, 100.0, 78.5, 50.0
6, 35.0, 95.0, 75.5, 50.0
6, 35.0, 95.0, 75.5, 50.0
8, 25.0, 100.0, 83.0, 50.0
9, 25.0, 100.0, 87.5, 50.0
5, 40.0, 87.5, 66.5, 50.0
5, 40.0, 87.5, 71.0, 50.0
9, 30.0, 100.0, 83.0, 50.0
7, 30.0, 100.0, 86.0, 50.0
8, 30.0, 100.0, 78.5, 50.0
6, 35.0, 95.0, 71.0, 50.0
6, 35.0, 95.0, 74.0, 50.0
7, 30.0, 100.0, 78.5, 50.0
11, 25.0, 100.0, 89.0, 50.0
7, 30.0, 100.0, 75.5, 50.0
5, 35.0, 87.5, 74.0, 50.0
7, 35.0, 100.0, 78.5, 50.0
9, 35.0, 100.0, 80.0, 50.0
7, 35.0, 100.0, 78.5, 50.0
5, 40.0, 87.5, 66.5, 50.0
7, 30.0, 100.0, 78.5, 50.0
6, 35.0, 95.0, 75.5, 50.0
10, 30.0, 100.0, 95.0, 50.0
7, 30.0, 100.0, 78.5, 50.0
5, 35.0, 87.5, 71.0, 50.0
7, 35.0, 100.0, 78.5, 50.0
5, 40.0, 87.5, 66.5, 50.0
4, 40.0, 80.0, 66.5, 50.0
9, 25.0, 100.0, 95.0, 50.0
8, 25.0, 100.0, 87.5, 50.0
8, 35.0, 100.0, 84.5, 50.0
6, 35.0, 95.0, 71.0, 50.0
6, 35.0, 95.0, 74.0, 50.0
7, 35.0, 100.0, 78.5, 50.0
6, 30.0, 95.0, 78.5, 50.0
9, 35.0, 100.0, 80.0, 50.0
8, 30.0, 100.0, 83.0, 50.0
6, 40.0, 95.0, 71.0, 50.0
6, 35.0, 95.0, 75.5, 50.0
12, 15.0, 100.0, 100.0, 50.0
10, 15.0, 100.0, 95.0, 50.0
7, 35.0, 100.0, 78.5, 50.0
9, 20.0, 100.0, 95.0, 50.0
8, 30.0, 100.0, 83.0, 50.0
5, 35.0, 87.5, 74.0, 50.0
6, 30.0, 95.0, 78.5, 50.0
8, 30.0, 100.0, 83.0, 50.0
6, 35.0, 95.0, 78.5, 50.0
7, 30.0, 100.0, 78.5, 50.0
8, 35.0, 100.0, 75.5, 50.0
6, 40.0, 95.0, 71.0, 50.0
8, 40.0, 100.0, 84.5, 50.0
8, 35.0, 100.0, 80.0, 50.0
8, 30.0, 100.0, 83.0, 50.0
10, 30.0, 100.0, 83.0, 50.0
5, 35.0, 87.5, 74.0, 50.0
