DActions Nb, pt_Trust, pt_Dist, pt_Aggr, pt_Talk

4, 75.0, 12.5, 29.0, 50.0
5, 80.0, 5.0, 24.5, 50.0
5, 80.0, 5.0, 24.5, 50.0
4, 75.0, 12.5, 29.0, 50.0
4, 75.0, 12.5, 29.0, 50.0
5, 80.0, 5.0, 24.5, 50.0
4, 75.0, 12.5, 29.0, 50.0
4, 75.0, 12.5, 29.0, 50.0
6, 90.0, 0.0, 17.0, 50.0
5, 85.0, 0.0, 21.5, 50.0
5, 80.0, 5.0, 24.5, 50.0
5, 85.0, 0.0, 21.5, 50.0
5, 80.0, 5.0, 24.5, 50.0
6, 85.0, 0.0, 20.0, 50.0
4, 75.0, 12.5, 29.0, 50.0
5, 85.0, 0.0, 21.5, 50.0
5, 80.0, 5.0, 24.5, 50.0
4, 75.0, 12.5, 29.0, 50.0
4, 75.0, 12.5, 29.0, 50.0
4, 75.0, 12.5, 29.0, 50.0
4, 75.0, 12.5, 29.0, 50.0
5, 85.0, 0.0, 21.5, 50.0
4, 75.0, 12.5, 29.0, 50.0
6, 85.0, 0.0, 20.0, 50.0
5, 80.0, 5.0, 24.5, 50.0
5, 80.0, 5.0, 24.5, 50.0
6, 85.0, 0.0, 20.0, 50.0
7, 90.0, 0.0, 15.5, 50.0
6, 90.0, 0.0, 17.0, 50.0
4, 75.0, 12.5, 29.0, 50.0
6, 85.0, 0.0, 20.0, 50.0
5, 80.0, 5.0, 24.5, 50.0
6, 90.0, 0.0, 17.0, 50.0
5, 80.0, 5.0, 24.5, 50.0
5, 85.0, 0.0, 21.5, 50.0
4, 75.0, 12.5, 29.0, 50.0
5, 85.0, 0.0, 21.5, 50.0
4, 75.0, 12.5, 29.0, 50.0
4, 75.0, 12.5, 29.0, 50.0
7, 90.0, 0.0, 15.5, 50.0
6, 85.0, 0.0, 20.0, 50.0
7, 95.0, 0.0, 12.5, 50.0
6, 85.0, 0.0, 20.0, 50.0
5, 80.0, 5.0, 24.5, 50.0
5, 80.0, 5.0, 24.5, 50.0
5, 80.0, 5.0, 24.5, 50.0
4, 75.0, 12.5, 29.0, 50.0
4, 75.0, 12.5, 29.0, 50.0
5, 85.0, 0.0, 21.5, 50.0
7, 90.0, 0.0, 15.5, 50.0
4, 75.0, 12.5, 29.0, 50.0
4, 75.0, 12.5, 29.0, 50.0
6, 90.0, 0.0, 17.0, 50.0
4, 75.0, 12.5, 29.0, 50.0
4, 75.0, 12.5, 29.0, 50.0
5, 80.0, 5.0, 24.5, 50.0
4, 75.0, 12.5, 29.0, 50.0
4, 75.0, 12.5, 29.0, 50.0
5, 80.0, 5.0, 24.5, 50.0
4, 75.0, 12.5, 29.0, 50.0
6, 90.0, 0.0, 17.0, 50.0
5, 80.0, 5.0, 24.5, 50.0
4, 75.0, 12.5, 29.0, 50.0
5, 80.0, 5.0, 24.5, 50.0
4, 75.0, 12.5, 29.0, 50.0
4, 75.0, 12.5, 29.0, 50.0
5, 80.0, 5.0, 24.5, 50.0
5, 80.0, 5.0, 24.5, 50.0
5, 85.0, 0.0, 21.5, 50.0
5, 80.0, 5.0, 24.5, 50.0
5, 80.0, 5.0, 24.5, 50.0
8, 100.0, 0.0, 0.0, 50.0
4, 75.0, 12.5, 29.0, 50.0
4, 75.0, 12.5, 29.0, 50.0
7, 90.0, 0.0, 15.5, 50.0
6, 95.0, 0.0, 14.0, 50.0
4, 75.0, 12.5, 29.0, 50.0
5, 80.0, 5.0, 24.5, 50.0
5, 85.0, 0.0, 21.5, 50.0
7, 95.0, 0.0, 12.5, 50.0
7, 90.0, 0.0, 15.5, 50.0
5, 80.0, 5.0, 24.5, 50.0
5, 85.0, 0.0, 21.5, 50.0
4, 75.0, 12.5, 29.0, 50.0
5, 80.0, 5.0, 24.5, 50.0
6, 85.0, 0.0, 20.0, 50.0
4, 75.0, 12.5, 29.0, 50.0
5, 80.0, 5.0, 24.5, 50.0
6, 85.0, 0.0, 20.0, 50.0
4, 75.0, 12.5, 29.0, 50.0
5, 80.0, 5.0, 24.5, 50.0
4, 75.0, 12.5, 29.0, 50.0
5, 80.0, 5.0, 24.5, 50.0
5, 85.0, 0.0, 21.5, 50.0
5, 80.0, 5.0, 24.5, 50.0
6, 85.0, 0.0, 20.0, 50.0
4, 75.0, 12.5, 29.0, 50.0
4, 75.0, 12.5, 29.0, 50.0
5, 80.0, 5.0, 24.5, 50.0
5, 85.0, 0.0, 21.5, 50.0
