Doctor's Actions; pt_Trust; pt_Dist; pt_Aggr; pt_Talk; dialStatus;;Doctor's Actions; pt_Trust; pt_Dist; pt_Aggr; pt_Talk; dialStatus;;;Doctor's Actions; pt_Trust; pt_Dist; pt_Aggr; pt_Talk; dialStatus
2;35;62;62;80; R;;1;90;0;0;80; N;;;2;40;72,5;72,5;50; N
3;40;53;53;80; N;;2;95;0;0;80; DU;;;3;50;65;65;50; N
1;30;71;71;80; DU;;3;100;0;0;80; Q;;;4;50;57,5;65;50; N
2;40;62;62;80; END;;4;100;0;0;80; N;;;1;60;42,5;42,5;50; N
3;45;53;53;80; N;;1;90;0;0;80; DU;;;2;60;35;42,5;50; N
1;30;71;71;80; R;;2;100;0;0;80; N;;;3;55;50;50;50; DU
2;40;62;62;80; N;;3;100;0;0;80; N;;;4;50;57,5;65;50; END
3;45;53;53;80; N;;1;90;0;0;80; N;;;1;45;65;57,5;50; DU
1;30;71;71;80; N;;2;95;0;0;80; N;;;2;40;72,5;72,5;50; END
2;35;62;62;80; Q;;1;90;0;0;80; N;;;1;45;65;57,5;50; N
3;40;53;53;80; N;;2;95;0;0;80; N;;;2;40;72,5;72,5;50; DU
1;30;71;71;80; Q;;1;90;0;0;80; N;;;3;50;65;65;50; N
2;40;62;62;80; R;;2;95;0;0;80; N;;;4;50;57,5;65;50; N
3;50;53;53;80; END;;1;90;0;0;80; N;;;1;45;65;57,5;50; N
4;55;44;44;80; N;;2;95;0;0;80; N;;;2;40;72,5;72,5;50; DU
1;30;71;71;80; N;;1;90;0;0;80; N;;;3;40;80;72,5;50; N
2;35;62;62;80; N;;2;95;0;0;80; N;;;4;35;87,5;87,5;50; N
1;30;71;71;80; Q;;1;90;0;0;80; N;;;1;45;65;57,5;50; N
2;40;62;62;80; N;;2;95;0;0;80; N;;;2;40;72,5;72,5;50; DU
3;45;53;53;80; N;;1;90;0;0;80; Q;;;3;40;80;72,5;50; R
1;30;71;71;80; N;;2;100;0;0;80; N;;;4;35;87,5;87,5;50; Q
2;35;62;62;80; N;;3;100;0;0;80; N;;;5;35;95;87,5;50; DU
1;30;71;71;80; N;;1;90;0;0;80; N;;;6;30;100;100;50; END
2;35;62;62;80; N;;2;95;0;0;80; N;;;1;45;65;57,5;50; DU
1;30;71;71;80; R;;1;90;0;0;80; DU;;;2;40;72,5;72,5;50; R
2;40;62;62;80; N;;2;100;0;0;80; N;;;3;35;87,5;80;50; N
3;45;53;53;80; Q;;3;100;0;0;80; N;;;4;30;95;95;50; N
4;50;44;44;80; N;;1;90;0;0;80; N;;;5;30;100;95;50; DU
1;30;71;71;80; N;;2;95;0;0;80; N;;;6;25;100;100;50; N
