DActions Nb, pt_Trust, pt_Dist, pt_Aggr, pt_Talk

4, 70.0, 35.0, 30.5, 50.0
5, 70.0, 27.5, 35.0, 50.0
6, 75.0, 20.0, 30.5, 50.0
7, 70.0, 35.0, 32.0, 50.0
4, 60.0, 27.5, 42.5, 50.0
4, 55.0, 57.5, 54.5, 50.0
7, 70.0, 42.5, 38.0, 50.0
7, 65.0, 35.0, 41.0, 50.0
5, 65.0, 35.0, 36.5, 50.0
5, 65.0, 27.5, 39.5, 50.0
7, 70.0, 20.0, 36.5, 50.0
5, 85.0, 5.0, 18.5, 50.0
6, 65.0, 42.5, 45.5, 50.0
8, 75.0, 12.5, 32.0, 50.0
6, 75.0, 35.0, 29.0, 50.0
7, 60.0, 42.5, 48.5, 50.0
5, 55.0, 35.0, 50.0, 50.0
6, 80.0, 5.0, 30.5, 50.0
4, 70.0, 27.5, 36.5, 50.0
5, 70.0, 20.0, 36.5, 50.0
6, 80.0, 20.0, 24.5, 50.0
6, 65.0, 42.5, 41.0, 50.0
7, 85.0, 0.0, 24.5, 50.0
5, 70.0, 42.5, 35.0, 50.0
6, 70.0, 27.5, 39.5, 50.0
6, 65.0, 27.5, 41.0, 50.0
5, 60.0, 50.0, 41.0, 50.0
4, 70.0, 35.0, 33.5, 50.0
6, 90.0, 0.0, 21.5, 50.0
7, 85.0, 12.5, 17.0, 50.0
4, 55.0, 42.5, 50.0, 50.0
5, 80.0, 12.5, 21.5, 50.0
6, 60.0, 57.5, 50.0, 50.0
7, 75.0, 27.5, 29.0, 50.0
5, 60.0, 35.0, 41.0, 50.0
4, 75.0, 12.5, 29.0, 50.0
4, 70.0, 27.5, 38.0, 50.0
7, 70.0, 27.5, 42.5, 50.0
4, 55.0, 57.5, 50.0, 50.0
4, 50.0, 72.5, 59.0, 50.0
4, 60.0, 42.5, 47.0, 50.0
5, 55.0, 50.0, 50.0, 50.0
7, 60.0, 50.0, 50.0, 50.0
4, 55.0, 42.5, 50.0, 50.0
4, 70.0, 20.0, 30.5, 50.0
6, 75.0, 5.0, 33.5, 50.0
4, 75.0, 12.5, 29.0, 50.0
5, 75.0, 27.5, 26.0, 50.0
6, 70.0, 20.0, 38.0, 50.0
6, 60.0, 57.5, 50.0, 50.0
5, 65.0, 20.0, 41.0, 50.0
4, 70.0, 35.0, 30.5, 50.0
4, 65.0, 27.5, 38.0, 50.0
6, 80.0, 20.0, 26.0, 50.0
7, 65.0, 27.5, 44.0, 50.0
6, 85.0, 12.5, 21.5, 50.0
7, 90.0, 0.0, 20.0, 50.0
7, 70.0, 20.0, 36.5, 50.0
4, 70.0, 27.5, 36.5, 50.0
8, 80.0, 5.0, 33.5, 50.0
6, 70.0, 35.0, 38.0, 50.0
4, 70.0, 35.0, 35.0, 50.0
5, 65.0, 57.5, 42.5, 50.0
5, 75.0, 35.0, 30.5, 50.0
5, 75.0, 20.0, 32.0, 50.0
6, 90.0, 0.0, 14.0, 50.0
6, 65.0, 42.5, 45.5, 50.0
5, 65.0, 42.5, 42.5, 50.0
6, 85.0, 12.5, 21.5, 50.0
5, 70.0, 27.5, 38.0, 50.0
6, 60.0, 57.5, 50.0, 50.0
5, 70.0, 20.0, 38.0, 50.0
7, 65.0, 35.0, 45.5, 50.0
4, 55.0, 35.0, 48.5, 50.0
6, 70.0, 27.5, 32.0, 50.0
7, 75.0, 20.0, 27.5, 50.0
6, 80.0, 27.5, 30.5, 50.0
7, 85.0, 0.0, 20.0, 50.0
6, 65.0, 27.5, 42.5, 50.0
6, 50.0, 50.0, 57.5, 50.0
4, 70.0, 20.0, 30.5, 50.0
4, 65.0, 27.5, 38.0, 50.0
5, 50.0, 42.5, 53.0, 50.0
4, 60.0, 42.5, 45.5, 50.0
5, 70.0, 20.0, 36.5, 50.0
6, 60.0, 42.5, 45.5, 50.0
4, 70.0, 27.5, 33.5, 50.0
5, 70.0, 20.0, 33.5, 50.0
4, 60.0, 42.5, 41.0, 50.0
6, 65.0, 42.5, 41.0, 50.0
5, 65.0, 35.0, 36.5, 50.0
6, 80.0, 27.5, 26.0, 50.0
5, 65.0, 42.5, 42.5, 50.0
6, 60.0, 42.5, 45.5, 50.0
7, 75.0, 27.5, 33.5, 50.0
5, 65.0, 20.0, 38.0, 50.0
4, 70.0, 20.0, 30.5, 50.0
5, 80.0, 20.0, 27.5, 50.0
4, 65.0, 50.0, 39.5, 50.0
5, 60.0, 50.0, 45.5, 50.0
