Doctor's Actions, pt_Trust, pt_Dist, pt_Aggr, pt_Talk, dialStatus
1, 50.0, 50.0, 50.0, 50.0, DU
2, 50.0, 50.0, 50.0, 50.0, END
1, 50.0, 50.0, 50.0, 50.0, DU
2, 50.0, 50.0, 50.0, 50.0, Q
3, 50.0, 50.0, 50.0, 50.0, END
1, 50.0, 50.0, 50.0, 50.0, N
2, 50.0, 50.0, 50.0, 50.0, N
3, 50.0, 50.0, 50.0, 50.0, DU
1, 50.0, 42.5, 50.0, 50.0, R
2, 55.0, 35.0, 50.0, 50.0, N
3, 55.0, 35.0, 50.0, 50.0, N
4, 55.0, 35.0, 50.0, 50.0, N
1, 55.0, 57.5, 57.5, 50.0, DU
2, 60.0, 50.0, 57.5, 50.0, N
3, 60.0, 50.0, 57.5, 50.0, DU
4, 60.0, 50.0, 57.5, 50.0, N
1, 50.0, 42.5, 50.0, 50.0, R
2, 50.0, 42.5, 50.0, 50.0, END
1, 55.0, 57.5, 57.5, 50.0, R
2, 60.0, 50.0, 57.5, 50.0, N
3, 60.0, 50.0, 57.5, 50.0, Q
4, 60.0, 50.0, 57.5, 50.0, DU
1, 50.0, 50.0, 50.0, 50.0, Q
2, 50.0, 42.5, 50.0, 50.0, N
3, 50.0, 42.5, 50.0, 50.0, N
1, 55.0, 57.5, 57.5, 50.0, DU
2, 55.0, 57.5, 57.5, 50.0, N
3, 60.0, 65.0, 65.0, 50.0, DU
4, 65.0, 72.5, 72.5, 50.0, N
5, 65.0, 72.5, 72.5, 50.0, R
1, 50.0, 50.0, 50.0, 50.0, R
2, 50.0, 50.0, 50.0, 50.0, DU
3, 50.0, 50.0, 50.0, 50.0, N
1, 50.0, 50.0, 50.0, 50.0, N
2, 50.0, 50.0, 50.0, 50.0, DU
3, 50.0, 50.0, 50.0, 50.0, N
1, 50.0, 50.0, 50.0, 50.0, DU
2, 50.0, 42.5, 50.0, 50.0, N
3, 50.0, 42.5, 50.0, 50.0, DU
1, 50.0, 42.5, 50.0, 50.0, N
2, 50.0, 42.5, 50.0, 50.0, N
3, 50.0, 42.5, 50.0, 50.0, DU
1, 50.0, 50.0, 50.0, 50.0, DU
2, 50.0, 50.0, 50.0, 50.0, N
3, 50.0, 50.0, 50.0, 50.0, DU
1, 55.0, 57.5, 57.5, 50.0, R
2, 55.0, 50.0, 57.5, 50.0, N
3, 55.0, 50.0, 57.5, 50.0, N
4, 55.0, 50.0, 57.5, 50.0, DU
1, 50.0, 50.0, 50.0, 50.0, N
2, 50.0, 42.5, 50.0, 50.0, N
3, 50.0, 42.5, 50.0, 50.0, N
1, 55.0, 57.5, 57.5, 50.0, N
2, 55.0, 57.5, 57.5, 50.0, N
3, 55.0, 57.5, 57.5, 50.0, N
1, 50.0, 50.0, 50.0, 50.0, N
2, 50.0, 50.0, 50.0, 50.0, N
3, 50.0, 50.0, 50.0, 50.0, N
1, 50.0, 42.5, 50.0, 50.0, DU
2, 50.0, 42.5, 50.0, 50.0, N
3, 50.0, 42.5, 50.0, 50.0, DU
4, 50.0, 42.5, 50.0, 50.0, N
1, 50.0, 50.0, 50.0, 50.0, N
2, 50.0, 50.0, 50.0, 50.0, Q
3, 50.0, 50.0, 50.0, 50.0, N
1, 50.0, 50.0, 50.0, 50.0, DU
2, 50.0, 50.0, 50.0, 50.0, N
3, 50.0, 50.0, 50.0, 50.0, DU
1, 50.0, 50.0, 50.0, 50.0, Q
2, 50.0, 50.0, 50.0, 50.0, N
3, 50.0, 50.0, 50.0, 50.0, DU
1, 50.0, 50.0, 50.0, 50.0, Q
2, 50.0, 42.5, 50.0, 50.0, DU
3, 50.0, 35.0, 50.0, 50.0, Q
4, 50.0, 27.5, 50.0, 50.0, END
1, 50.0, 42.5, 50.0, 50.0, R
2, 55.0, 50.0, 57.5, 50.0, Q
