Doctor's Actions; pt_Trust; pt_Dist; pt_Aggr; pt_Talk; dialStatus
1; 60.0; 42.5; 42.5; 50.0; N
2; 65.0; 35.0; 35.0; 50.0; N
3; 60.0; 50.0; 42.5; 50.0; DU
4; 55.0; 57.5; 57.5; 50.0; N
1; 45.0; 65.0; 57.5; 50.0; DU
2; 50.0; 65.0; 57.5; 50.0; N
3; 55.0; 72.5; 57.5; 50.0; DU
4; 50.0; 80.0; 72.5; 50.0; N
5; 60.0; 72.5; 65.0; 50.0; N
6; 60.0; 65.0; 65.0; 50.0; DU
1; 45.0; 65.0; 57.5; 50.0; DU
2; 50.0; 65.0; 57.5; 50.0; N
3; 50.0; 72.5; 57.5; 50.0; DU
4; 55.0; 65.0; 57.5; 50.0; N
5; 65.0; 57.5; 50.0; 50.0; N
6; 65.0; 50.0; 50.0; 50.0; N
1; 60.0; 42.5; 42.5; 50.0; N
2; 65.0; 35.0; 35.0; 50.0; Q
3; 60.0; 50.0; 42.5; 50.0; DU
4; 65.0; 50.0; 42.5; 50.0; END
1; 60.0; 42.5; 42.5; 50.0; N
2; 65.0; 35.0; 35.0; 50.0; N
3; 60.0; 50.0; 42.5; 50.0; DU
4; 65.0; 50.0; 42.5; 50.0; N
1; 60.0; 42.5; 42.5; 50.0; N
2; 65.0; 35.0; 35.0; 50.0; N
3; 60.0; 50.0; 42.5; 50.0; DU
4; 65.0; 50.0; 42.5; 50.0; N
1; 45.0; 65.0; 57.5; 50.0; DU
2; 50.0; 65.0; 57.5; 50.0; N
3; 60.0; 57.5; 50.0; 50.0; N
4; 60.0; 50.0; 50.0; 50.0; N
1; 45.0; 65.0; 57.5; 50.0; N
2; 40.0; 72.5; 72.5; 50.0; DU
3; 50.0; 65.0; 65.0; 50.0; END
4; 50.0; 57.5; 65.0; 50.0; N
5; 55.0; 65.0; 65.0; 50.0; N
6; 50.0; 72.5; 80.0; 50.0; N
1; 60.0; 42.5; 42.5; 50.0; DU
2; 60.0; 35.0; 42.5; 50.0; N
3; 55.0; 50.0; 50.0; 50.0; N
4; 60.0; 50.0; 50.0; 50.0; N
1; 60.0; 42.5; 42.5; 50.0; DU
2; 65.0; 35.0; 35.0; 50.0; N
3; 60.0; 50.0; 42.5; 50.0; Q
4; 55.0; 57.5; 57.5; 50.0; N
5; 60.0; 65.0; 57.5; 50.0; N
6; 55.0; 72.5; 72.5; 50.0; DU
1; 60.0; 42.5; 42.5; 50.0; N
2; 65.0; 35.0; 35.0; 50.0; N
3; 60.0; 50.0; 42.5; 50.0; DU
4; 65.0; 50.0; 42.5; 50.0; N
1; 45.0; 65.0; 57.5; 50.0; DU
2; 50.0; 65.0; 57.5; 50.0; END
1; 45.0; 65.0; 57.5; 50.0; DU
2; 50.0; 65.0; 57.5; 50.0; N
3; 60.0; 57.5; 50.0; 50.0; N
4; 60.0; 50.0; 50.0; 50.0; Q
5; 60.0; 57.5; 50.0; 50.0; DU
6; 55.0; 65.0; 65.0; 50.0; END
1; 45.0; 65.0; 57.5; 50.0; Q
2; 40.0; 72.5; 72.5; 50.0; DU
3; 50.0; 65.0; 65.0; 50.0; END
4; 55.0; 57.5; 57.5; 50.0; N
