Doctor's Actions, pt_Trust, pt_Dist, pt_Aggr, pt_Talk, dialStatus
1, 15.0, 89.0, 89.0, 80.0, N
2, 20.0, 80.0, 83.6, 80.0, N
3, 25.0, 71.0, 78.19999999999999, 80.0, N
4, 30.0, 71.0, 69.19999999999999, 80.0, Q
5, 35.0, 62.0, 63.79999999999999, 80.0, N
1, 25.0, 80.0, 80.0, 80.0, R
2, 35.0, 62.0, 71.0, 80.0, N
3, 40.0, 53.0, 65.6, 80.0, N
4, 45.0, 44.0, 60.199999999999996, 80.0, N
5, 50.0, 44.0, 51.199999999999996, 80.0, R
6, 55.0, 35.0, 45.8, 80.0, N
1, 15.0, 89.0, 89.0, 80.0, DU
2, 25.0, 71.0, 80.0, 80.0, END
3, 30.0, 62.0, 74.6, 80.0, N
4, 35.0, 53.0, 69.19999999999999, 80.0, Q
5, 40.0, 44.0, 63.79999999999999, 80.0, N
6, 45.0, 35.0, 58.39999999999999, 80.0, N
1, 30.0, 62.0, 71.0, 80.0, N
2, 30.0, 71.0, 76.4, 80.0, Q
3, 35.0, 62.0, 71.0, 80.0, N
4, 35.0, 53.0, 71.0, 80.0, N
5, 30.0, 62.0, 76.4, 80.0, N
1, 25.0, 80.0, 80.0, 80.0, R
2, 35.0, 62.0, 71.0, 80.0, END
3, 40.0, 53.0, 65.6, 80.0, N
4, 40.0, 62.0, 65.6, 80.0, R
5, 45.0, 53.0, 60.199999999999996, 80.0, DU
6, 50.0, 44.0, 54.8, 80.0, N
7, 55.0, 44.0, 45.8, 80.0, DU
8, 60.0, 35.0, 40.4, 80.0, N
1, 30.0, 62.0, 71.0, 80.0, N
2, 35.0, 53.0, 65.6, 80.0, N
3, 35.0, 62.0, 65.6, 80.0, N
4, 40.0, 62.0, 56.599999999999994, 80.0, N
1, 30.0, 62.0, 71.0, 80.0, N
2, 35.0, 53.0, 65.6, 80.0, DU
3, 40.0, 44.0, 60.199999999999996, 80.0, N
4, 45.0, 35.0, 54.8, 80.0, N
5, 40.0, 44.0, 60.199999999999996, 80.0, N
1, 25.0, 80.0, 80.0, 80.0, N
2, 25.0, 89.0, 85.4, 80.0, N
3, 25.0, 80.0, 85.4, 80.0, R
4, 30.0, 71.0, 80.0, 80.0, N
5, 25.0, 80.0, 85.4, 80.0, DU
6, 30.0, 71.0, 80.0, 80.0, N
1, 25.0, 80.0, 80.0, 80.0, R
2, 35.0, 62.0, 71.0, 80.0, N
3, 40.0, 53.0, 65.6, 80.0, N
4, 40.0, 62.0, 65.6, 80.0, N
5, 45.0, 53.0, 60.199999999999996, 80.0, N
1, 25.0, 80.0, 80.0, 80.0, Q
2, 35.0, 62.0, 71.0, 80.0, R
3, 45.0, 44.0, 62.0, 80.0, N
4, 45.0, 53.0, 67.4, 80.0, R
5, 50.0, 44.0, 62.00000000000001, 80.0, N
6, 50.0, 53.0, 62.00000000000001, 80.0, DU
7, 55.0, 44.0, 56.60000000000001, 80.0, Q
8, 60.0, 35.0, 51.20000000000001, 80.0, DU
9, 65.0, 26.0, 45.80000000000001, 80.0, N
10, 70.0, 26.0, 36.80000000000001, 80.0, N
1, 25.0, 80.0, 80.0, 80.0, DU
2, 35.0, 62.0, 71.0, 80.0, N
3, 40.0, 53.0, 65.6, 80.0, N
4, 45.0, 44.0, 60.199999999999996, 80.0, N
5, 50.0, 44.0, 51.199999999999996, 80.0, R
6, 55.0, 35.0, 45.8, 80.0, DU
7, 60.0, 26.0, 40.4, 80.0, END
1, 30.0, 62.0, 71.0, 80.0, R
2, 40.0, 44.0, 62.0, 80.0, N
3, 45.0, 35.0, 56.6, 80.0, N
4, 45.0, 44.0, 56.6, 80.0, N
5, 50.0, 44.0, 47.6, 80.0, N
1, 30.0, 62.0, 71.0, 80.0, N
2, 35.0, 53.0, 65.6, 80.0, N
3, 40.0, 44.0, 60.199999999999996, 80.0, DU
4, 45.0, 35.0, 54.8, 80.0, N
5, 40.0, 44.0, 60.199999999999996, 80.0, N
1, 25.0, 80.0, 80.0, 80.0, Q
2, 35.0, 62.0, 71.0, 80.0, N
3, 40.0, 53.0, 65.6, 80.0, N
4, 40.0, 44.0, 65.6, 80.0, N
5, 35.0, 53.0, 71.0, 80.0, N
1, 15.0, 89.0, 89.0, 80.0, DU
2, 25.0, 71.0, 80.0, 80.0, N
3, 30.0, 62.0, 74.6, 80.0, N
4, 30.0, 71.0, 74.6, 80.0, Q
5, 35.0, 62.0, 69.19999999999999, 80.0, N
6, 40.0, 53.0, 63.79999999999999, 80.0, N
1, 15.0, 89.0, 89.0, 80.0, N
2, 15.0, 98.0, 94.4, 80.0, N
3, 20.0, 89.0, 89.0, 80.0, N
4, 25.0, 89.0, 80.0, 80.0, N
1, 30.0, 62.0, 71.0, 80.0, N
2, 35.0, 53.0, 65.6, 80.0, R
3, 40.0, 44.0, 60.199999999999996, 80.0, N
4, 40.0, 35.0, 60.199999999999996, 80.0, R
5, 45.0, 26.0, 54.8, 80.0, END
6, 50.0, 26.0, 45.8, 80.0, R
7, 55.0, 17.0, 40.4, 80.0, N
1, 30.0, 62.0, 71.0, 80.0, N
2, 30.0, 71.0, 76.4, 80.0, DU
3, 35.0, 62.0, 71.0, 80.0, N
4, 35.0, 71.0, 71.0, 80.0, N
5, 30.0, 80.0, 76.4, 80.0, N
1, 15.0, 89.0, 89.0, 80.0, DU
2, 25.0, 71.0, 80.0, 80.0, R
3, 35.0, 53.0, 71.0, 80.0, N
4, 35.0, 62.0, 76.4, 80.0, DU
5, 40.0, 53.0, 71.0, 80.0, END
6, 40.0, 44.0, 71.0, 80.0, N
7, 45.0, 35.0, 65.6, 80.0, N
1, 25.0, 80.0, 80.0, 80.0, N
2, 30.0, 71.0, 74.6, 80.0, N
3, 35.0, 62.0, 69.19999999999999, 80.0, R
4, 40.0, 53.0, 63.79999999999999, 80.0, N
5, 45.0, 44.0, 58.39999999999999, 80.0, DU
6, 50.0, 35.0, 52.99999999999999, 80.0, N
1, 30.0, 62.0, 71.0, 80.0, N
2, 30.0, 71.0, 76.4, 80.0, N
3, 35.0, 62.0, 71.0, 80.0, N
4, 40.0, 53.0, 65.6, 80.0, N
1, 25.0, 80.0, 80.0, 80.0, R
2, 35.0, 62.0, 71.0, 80.0, END
3, 35.0, 71.0, 76.4, 80.0, N
4, 35.0, 80.0, 76.4, 80.0, N
5, 40.0, 80.0, 67.4, 80.0, N
1, 25.0, 80.0, 80.0, 80.0, R
2, 35.0, 62.0, 71.0, 80.0, END
3, 40.0, 53.0, 65.6, 80.0, N
4, 45.0, 44.0, 60.199999999999996, 80.0, N
5, 50.0, 35.0, 54.8, 80.0, N
1, 25.0, 80.0, 80.0, 80.0, N
2, 30.0, 71.0, 74.6, 80.0, N
3, 30.0, 62.0, 74.6, 80.0, N
4, 35.0, 53.0, 69.19999999999999, 80.0, N
1, 25.0, 80.0, 80.0, 80.0, N
2, 30.0, 71.0, 74.6, 80.0, N
3, 30.0, 80.0, 74.6, 80.0, N
4, 35.0, 80.0, 65.6, 80.0, N
1, 30.0, 62.0, 71.0, 80.0, N
2, 35.0, 53.0, 65.6, 80.0, R
3, 40.0, 44.0, 60.199999999999996, 80.0, END
4, 40.0, 53.0, 60.199999999999996, 80.0, N
5, 45.0, 44.0, 54.8, 80.0, N
1, 15.0, 89.0, 89.0, 80.0, DU
2, 25.0, 71.0, 80.0, 80.0, R
3, 35.0, 53.0, 71.0, 80.0, N
4, 35.0, 62.0, 76.4, 80.0, N
5, 35.0, 71.0, 76.4, 80.0, DU
6, 40.0, 62.0, 71.0, 80.0, R
7, 45.0, 53.0, 65.6, 80.0, N
8, 40.0, 62.0, 71.0, 80.0, R
9, 45.0, 53.0, 65.6, 80.0, END
1, 25.0, 80.0, 80.0, 80.0, N
2, 30.0, 71.0, 74.6, 80.0, N
3, 35.0, 62.0, 69.19999999999999, 80.0, N
4, 40.0, 53.0, 63.79999999999999, 80.0, N
1, 25.0, 80.0, 80.0, 80.0, R
2, 35.0, 62.0, 71.0, 80.0, DU
3, 45.0, 44.0, 62.0, 80.0, N
4, 50.0, 35.0, 56.6, 80.0, R
5, 55.0, 26.0, 51.2, 80.0, N
6, 60.0, 17.0, 45.800000000000004, 80.0, R
7, 65.0, 8.0, 40.400000000000006, 80.0, N
8, 70.0, 8.0, 31.400000000000006, 80.0, R
9, 75.0, 0.0, 26.000000000000007, 80.0, DU
10, 80.0, 0.0, 20.60000000000001, 80.0, N
1, 30.0, 62.0, 71.0, 80.0, N
2, 35.0, 53.0, 65.6, 80.0, N
3, 35.0, 62.0, 65.6, 80.0, N
4, 30.0, 71.0, 71.0, 80.0, N
1, 30.0, 62.0, 71.0, 80.0, N
2, 30.0, 71.0, 76.4, 80.0, DU
3, 35.0, 62.0, 71.0, 80.0, END
4, 35.0, 71.0, 71.0, 80.0, R
5, 40.0, 62.0, 65.6, 80.0, END
6, 45.0, 62.0, 56.599999999999994, 80.0, N
1, 15.0, 89.0, 89.0, 80.0, Q
2, 25.0, 71.0, 80.0, 80.0, DU
3, 35.0, 53.0, 71.0, 80.0, N
4, 40.0, 44.0, 65.6, 80.0, DU
5, 45.0, 35.0, 60.199999999999996, 80.0, R
6, 50.0, 26.0, 54.8, 80.0, DU
7, 55.0, 17.0, 49.4, 80.0, N
8, 55.0, 26.0, 49.4, 80.0, N
9, 60.0, 17.0, 44.0, 80.0, N
1, 30.0, 62.0, 71.0, 80.0, N
2, 35.0, 53.0, 65.6, 80.0, N
3, 35.0, 44.0, 65.6, 80.0, N
4, 40.0, 35.0, 60.199999999999996, 80.0, DU
5, 45.0, 26.0, 54.8, 80.0, N
1, 30.0, 62.0, 71.0, 80.0, DU
2, 40.0, 44.0, 62.0, 80.0, N
3, 45.0, 35.0, 56.6, 80.0, N
4, 45.0, 26.0, 56.6, 80.0, R
5, 50.0, 17.0, 51.2, 80.0, N
6, 55.0, 17.0, 42.2, 80.0, N
1, 15.0, 89.0, 89.0, 80.0, N
2, 15.0, 98.0, 94.4, 80.0, N
3, 20.0, 89.0, 89.0, 80.0, R
4, 25.0, 80.0, 83.6, 80.0, N
5, 30.0, 71.0, 78.19999999999999, 80.0, R
6, 35.0, 62.0, 72.79999999999998, 80.0, END
1, 25.0, 80.0, 80.0, 80.0, DU
2, 35.0, 62.0, 71.0, 80.0, N
3, 40.0, 53.0, 65.6, 80.0, N
4, 40.0, 62.0, 65.6, 80.0, N
5, 45.0, 62.0, 56.599999999999994, 80.0, N
1, 15.0, 89.0, 89.0, 80.0, DU
2, 25.0, 71.0, 80.0, 80.0, N
3, 30.0, 62.0, 74.6, 80.0, DU
4, 35.0, 53.0, 69.19999999999999, 80.0, END
5, 35.0, 62.0, 69.19999999999999, 80.0, N
